REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,MATRÍCULA
17 - MONTE PLATA,1702 - MONTE PLATA,09190 - POLITECNICO PROMAPEC,09190,265
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,14217 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),14217,266
04 - SAN CRISTOBAL,0406 - HAINA,07904 - CESAR NICOLAS PENSON,07904,266
04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,15293 - POLITECNICO EUGENIO MARIA DE HOSTOS,15293,268
04 - SAN CRISTOBAL,0405 - YAGUATE,15341 - POLITECNICO ANDRES BREMON,15341,271
10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,05515 - POLITECNICO DIVINA PROVIDENCIA,05515,271
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,05025 - FERNANDO ARTURO DE MERINO,05025,276
07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,06641 - POLITECNICO AGUSTIN BONILLA,06641,278
14 - NAGUA,1407 - LAS TERRENAS,13364 - POLITECNICO SANTO ESTEBAN RIVERA,13364,282
16 - COTUI,1607 - VILLA LA MATA,08433 - POLITECNICO MIGUEL ANGEL GARCIA VILORIA,08433,284
01 - BARAHONA,0105 - VICENTE NOBLE,06497 - POLITECNICO SAN JOSE,06497,285
03 - AZUA,0305 - NIZAO,07478 - POLITECNICO SAN FELIPE NERI FE Y ALEGRIA,07478,286
06 - LA VEGA,0604 - LA VEGA OESTE,07173 - POLITECNICO MERCEDES MOREL,07173,286
15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,06180 - MOVEARTE (ESCUELA TECNICA),06180,286
